config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,10552,1758,0.9436848489215545,0.9912467857140519,0.12049646923187779,0.585603112840467,0.728923476005188,0.8125810635538262
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,10552,1758,0.9432855358601143,0.9911494569052717,0.1250810635538262,0.5726329442282749,0.7133592736705577,0.817769130998703
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,10552,1758,0.9438920113368882,0.9912991358846603,0.1247568093385214,0.5830090791180286,0.7412451361867705,0.8326848249027238
test_celebdf,ff+dfdc,celebdf,0,full_fusion,10552,1758,0.9440301196137773,0.9912836045666638,0.1250810635538262,0.5479896238651103,0.7120622568093385,0.8300907911802854
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,77,0.656198347107438,0.7982739693154808,0.36363636363636365,0.03636363636363636,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,77,0.6487603305785123,0.7899821649691797,0.40454545454545454,0.03636363636363636,0.05454545454545454,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,77,0.6727272727272727,0.8057958872571636,0.32272727272727275,0.05454545454545454,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,77,0.6619834710743802,0.7991877757748242,0.40454545454545454,0.05454545454545454,0.07272727272727272,0.10909090909090909
test_ff,celebdf+dfdc,ff,0,backbone_only,6910,600,0.62894,0.8912736753890282,0.4,0.03,0.1,0.25
test_ff,celebdf+dfdc,ff,0,backbone+rppg,6910,600,0.61562,0.8879665930249432,0.41000000000000003,0.056,0.116,0.254
test_ff,celebdf+dfdc,ff,0,backbone+blink,6910,600,0.62868,0.8917214542353795,0.40900000000000003,0.038,0.092,0.254
test_ff,celebdf+dfdc,ff,0,full_fusion,6910,600,0.61754,0.8886625648977289,0.4,0.06,0.128,0.254
