seed,variant,auc,clip_ci_lo,clip_ci_hi,clip_ci_width,clip_boot_std,subj_ci_lo,subj_ci_hi,subj_ci_width,subj_boot_std,inflation_ratio
0,backbone_only,0.758809,0.723638,0.794576,0.070937,0.017595,0.689996,0.819663,0.129667,0.033298,1.827906
0,backbone+rppg,0.746935,0.712039,0.782523,0.070484,0.017898,0.674254,0.809684,0.135430,0.034326,1.921443
0,backbone+blink,0.754272,0.719556,0.791079,0.071523,0.017784,0.684590,0.815406,0.130816,0.033209,1.829016
0,full_fusion,0.742473,0.707822,0.778477,0.070655,0.018049,0.671291,0.805364,0.134073,0.034021,1.897588
1,backbone_only,0.756872,0.720522,0.788871,0.068349,0.016857,0.678158,0.820720,0.142562,0.036003,2.085788
1,backbone+rppg,0.760250,0.723463,0.792486,0.069023,0.016790,0.680501,0.824041,0.143541,0.036350,2.079612
1,backbone+blink,0.751931,0.717286,0.783946,0.066661,0.016932,0.673512,0.814105,0.140593,0.035190,2.109082
1,full_fusion,0.755762,0.719850,0.787200,0.067350,0.016849,0.678721,0.817603,0.138881,0.035314,2.062092
42,backbone_only,0.734634,0.697825,0.766553,0.068728,0.017930,0.658282,0.801826,0.143544,0.037617,2.088589
42,backbone+rppg,0.738855,0.701775,0.770773,0.068997,0.017862,0.663057,0.804806,0.141749,0.037030,2.054415
42,backbone+blink,0.731527,0.692754,0.762838,0.070083,0.017994,0.655196,0.799277,0.144081,0.037446,2.055865
42,full_fusion,0.736709,0.698130,0.768504,0.070374,0.017940,0.659285,0.803041,0.143756,0.036774,2.042737
1337,backbone_only,0.748811,0.714040,0.787068,0.073028,0.018248,0.673148,0.810086,0.136938,0.035913,1.875141
1337,backbone+rppg,0.739771,0.702993,0.777231,0.074238,0.018563,0.663826,0.802269,0.138443,0.036343,1.864858
1337,backbone+blink,0.744950,0.709830,0.781448,0.071619,0.018362,0.671699,0.806356,0.134658,0.035586,1.880202
1337,full_fusion,0.737180,0.700004,0.775322,0.075318,0.018591,0.660570,0.799273,0.138703,0.035950,1.841571
2024,backbone_only,0.747592,0.710096,0.785022,0.074926,0.019430,0.665819,0.812626,0.146807,0.036521,1.959349
2024,backbone+rppg,0.756842,0.719397,0.793284,0.073887,0.019074,0.680020,0.817660,0.137640,0.034865,1.862849
2024,backbone+blink,0.744830,0.707530,0.782067,0.074537,0.019554,0.664306,0.806276,0.141970,0.035898,1.904687
2024,full_fusion,0.754311,0.717850,0.791137,0.073287,0.019231,0.680366,0.814152,0.133786,0.034027,1.825503
