variant,stratum,fpr_target,rescue_mean,regression_mean,net_mean,rescue_pct
backbone+rppg,ALL,0.01,12.00,10.20,1.80,54.05
backbone+rppg,ALL,0.05,25.60,18.80,6.80,57.66
backbone+rppg,ALL,0.1,22.20,30.80,-8.60,41.89
backbone+rppg,rppg_snr_high_Q,0.01,3.40,3.20,0.20,51.52
backbone+rppg,rppg_snr_high_Q,0.05,9.40,9.00,0.40,51.09
backbone+rppg,rppg_snr_high_Q,0.1,8.00,13.20,-5.20,37.74
backbone+rppg,blink_int_high_Q,0.01,4.20,4.20,0.00,50.00
backbone+rppg,blink_int_high_Q,0.05,8.20,5.60,2.60,59.42
backbone+rppg,blink_int_high_Q,0.1,6.20,9.20,-3.00,40.26
backbone+rppg,blink_int_low_Q,0.01,2.40,1.40,1.00,63.16
backbone+rppg,blink_int_low_Q,0.05,5.80,3.00,2.80,65.91
backbone+rppg,blink_int_low_Q,0.1,6.00,5.60,0.40,51.72
backbone+rppg,real,0.01,0.20,0.20,0.00,50.00
backbone+rppg,real,0.05,0.40,0.40,0.00,50.00
backbone+rppg,real,0.1,2.00,2.00,0.00,50.00
backbone+rppg,fake,0.01,11.80,10.00,1.80,54.13
backbone+rppg,fake,0.05,25.20,18.40,6.80,57.80
backbone+rppg,fake,0.1,20.20,28.80,-8.60,41.22
backbone+blink,ALL,0.01,2.80,22.00,-19.20,11.29
backbone+blink,ALL,0.05,22.20,20.80,1.40,51.63
backbone+blink,ALL,0.1,26.40,30.20,-3.80,46.64
backbone+blink,rppg_snr_high_Q,0.01,0.40,6.00,-5.60,6.25
backbone+blink,rppg_snr_high_Q,0.05,5.00,6.40,-1.40,43.86
backbone+blink,rppg_snr_high_Q,0.1,4.60,10.20,-5.60,31.08
backbone+blink,blink_int_high_Q,0.01,0.40,14.40,-14.00,2.70
backbone+blink,blink_int_high_Q,0.05,0.40,15.40,-15.00,2.53
backbone+blink,blink_int_high_Q,0.1,1.00,22.20,-21.20,4.31
backbone+blink,blink_int_low_Q,0.01,0.40,1.40,-1.00,22.22
backbone+blink,blink_int_low_Q,0.05,10.60,1.00,9.60,91.38
backbone+blink,blink_int_low_Q,0.1,12.40,1.00,11.40,92.54
backbone+blink,real,0.01,0.40,0.40,0.00,50.00
backbone+blink,real,0.05,1.00,1.00,0.00,50.00
backbone+blink,real,0.1,1.40,1.40,0.00,50.00
backbone+blink,fake,0.01,2.40,21.60,-19.20,10.00
backbone+blink,fake,0.05,21.20,19.80,1.40,51.71
backbone+blink,fake,0.1,25.00,28.80,-3.80,46.47
full_fusion,ALL,0.01,7.40,26.60,-19.20,21.76
full_fusion,ALL,0.05,24.40,35.60,-11.20,40.67
full_fusion,ALL,0.1,30.20,49.40,-19.20,37.94
full_fusion,rppg_snr_high_Q,0.01,1.80,6.20,-4.40,22.50
full_fusion,rppg_snr_high_Q,0.05,6.80,11.60,-4.80,36.96
full_fusion,rppg_snr_high_Q,0.1,8.20,19.40,-11.20,29.71
full_fusion,blink_int_high_Q,0.01,1.00,15.20,-14.20,6.17
full_fusion,blink_int_high_Q,0.05,0.40,21.60,-21.20,1.82
full_fusion,blink_int_high_Q,0.1,1.60,27.00,-25.40,5.59
full_fusion,blink_int_low_Q,0.01,3.00,2.40,0.60,55.56
full_fusion,blink_int_low_Q,0.05,10.20,3.00,7.20,77.27
full_fusion,blink_int_low_Q,0.1,13.60,3.60,10.00,79.07
full_fusion,real,0.01,0.60,0.60,0.00,50.00
full_fusion,real,0.05,0.80,0.80,0.00,50.00
full_fusion,real,0.1,2.00,2.00,0.00,50.00
full_fusion,fake,0.01,6.80,26.00,-19.20,20.73
full_fusion,fake,0.05,23.60,34.80,-11.20,40.41
full_fusion,fake,0.1,28.20,47.40,-19.20,37.30
