config,variant,n_test,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone+blink,1758,0.941127,0.001559,0.128878,0.003710,0.548379,0.021007,0.722827,0.012016,0.816342,0.011650
test_celebdf,backbone+rppg,1758,0.942609,0.001660,0.124488,0.003666,0.551751,0.027573,0.714656,0.012774,0.826329,0.007314
test_celebdf,backbone_only,1758,0.940875,0.001573,0.127832,0.005227,0.552270,0.024659,0.719974,0.012794,0.809728,0.008082
test_celebdf,full_fusion,1758,0.943138,0.001605,0.125998,0.004173,0.539429,0.019511,0.715305,0.011555,0.836057,0.014547
test_dfdc,backbone+blink,77,0.674545,0.007047,0.345455,0.021076,0.069091,0.015212,0.123636,0.008131,0.130909,0.015212
test_dfdc,backbone+rppg,77,0.662314,0.009233,0.361818,0.029211,0.047273,0.016262,0.076364,0.023706,0.141818,0.023706
test_dfdc,backbone_only,77,0.663306,0.007655,0.357273,0.019709,0.054545,0.018182,0.120000,0.009959,0.134545,0.027574
test_dfdc,full_fusion,77,0.672066,0.009229,0.363636,0.028927,0.069091,0.015212,0.105455,0.023706,0.130909,0.015212
test_ff,backbone+blink,600,0.612572,0.021649,0.421800,0.012558,0.043600,0.035536,0.129200,0.047023,0.223200,0.049852
test_ff,backbone+rppg,600,0.609672,0.014027,0.420000,0.010000,0.036800,0.022830,0.110400,0.024714,0.212000,0.044385
test_ff,backbone_only,600,0.613024,0.020855,0.419200,0.016649,0.043600,0.034854,0.134400,0.050723,0.220800,0.044757
test_ff,full_fusion,600,0.610088,0.013166,0.416000,0.015166,0.037600,0.023639,0.110400,0.028404,0.214000,0.038859
