variant,method,n,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
backbone+blink,ALL,2209,0.725363,0.019872,0.327247,0.020428,0.063111,0.014948,0.202667,0.011848,0.322413,0.055470
backbone+blink,sadtalker_cdf,836,0.699198,0.018129,0.353467,0.025514,0.054932,0.020983,0.171168,0.032304,0.284370,0.019744
backbone+blink,sadtalker_ff,278,0.578644,0.002725,0.430932,0.016563,0.021739,0.011458,0.078261,0.015710,0.162319,0.013164
backbone+blink,simswap_cdf,815,0.774112,0.031013,0.295672,0.027405,0.088401,0.044919,0.230721,0.043837,0.362069,0.071010
backbone+blink,simswap_ff,280,0.595051,0.016667,0.408571,0.011737,0.015714,0.011737,0.075714,0.013924,0.171429,0.013363
backbone+rppg,ALL,2209,0.732179,0.015670,0.323038,0.010363,0.061968,0.005830,0.203937,0.022526,0.333206,0.032267
backbone+rppg,sadtalker_cdf,836,0.705853,0.015205,0.345719,0.021177,0.057360,0.016637,0.161760,0.026859,0.278604,0.024786
backbone+rppg,sadtalker_ff,278,0.581439,0.005461,0.423737,0.008203,0.023188,0.009448,0.086957,0.010248,0.159420,0.028529
backbone+rppg,simswap_cdf,815,0.780339,0.032182,0.288268,0.036481,0.085580,0.032248,0.234169,0.051850,0.374295,0.069581
backbone+rppg,simswap_ff,280,0.596929,0.014702,0.407143,0.008748,0.020000,0.010595,0.077143,0.010595,0.164286,0.022016
backbone_only,ALL,2209,0.725941,0.020108,0.325918,0.021428,0.062857,0.015185,0.200381,0.011721,0.324571,0.053139
backbone_only,sadtalker_cdf,836,0.700148,0.018516,0.354336,0.025915,0.055235,0.021179,0.170561,0.029358,0.285584,0.018782
backbone_only,sadtalker_ff,278,0.579265,0.001816,0.430932,0.014919,0.021739,0.011458,0.076812,0.016682,0.163768,0.010990
backbone_only,simswap_cdf,815,0.774837,0.030965,0.293915,0.029760,0.090909,0.046970,0.231034,0.041656,0.363323,0.070135
backbone_only,simswap_ff,280,0.594663,0.016982,0.407143,0.010102,0.015714,0.011737,0.072857,0.012778,0.172857,0.014639
full_fusion,ALL,2209,0.731611,0.015290,0.324937,0.010280,0.062095,0.005633,0.204063,0.023140,0.333460,0.034128
full_fusion,sadtalker_cdf,836,0.705117,0.014712,0.345871,0.022775,0.057056,0.015719,0.161153,0.028356,0.279211,0.025864
full_fusion,sadtalker_ff,278,0.581366,0.005608,0.426615,0.009381,0.024638,0.010990,0.088406,0.009448,0.156522,0.025925
full_fusion,simswap_cdf,815,0.780157,0.031429,0.290496,0.037504,0.085266,0.030243,0.234169,0.053837,0.377429,0.068163
full_fusion,simswap_ff,280,0.597082,0.014687,0.407143,0.008748,0.018571,0.011952,0.075714,0.010833,0.162857,0.022246
