seed,variant,split,n,auc,ap,eer,tpr5
0,backbone_only,ff_c23_test,600,0.57744,0.875247257735017,0.43999999999999995,0.142
0,backbone_only,ff_c40_test,600,0.5441,0.86029637980203,0.48,0.1
0,backbone+rppg,ff_c23_test,600,0.57786,0.8737751739770949,0.43999999999999995,0.134
0,backbone+rppg,ff_c40_test,600,0.54498,0.8600070862298513,0.479,0.092
0,backbone+blink,ff_c23_test,600,0.5846,0.8771121482025215,0.44099999999999995,0.136
0,backbone+blink,ff_c40_test,600,0.54456,0.8602671880544348,0.482,0.094
0,full_fusion,ff_c23_test,600,0.58502,0.8770019897913728,0.43000000000000005,0.136
0,full_fusion,ff_c40_test,600,0.54496,0.8598216543258281,0.48,0.09
1,backbone_only,ff_c23_test,600,0.55758,0.8679111868311455,0.46199999999999997,0.102
1,backbone_only,ff_c40_test,600,0.52368,0.8546595922556155,0.5,0.092
1,backbone+rppg,ff_c23_test,600,0.56074,0.8685456933814795,0.45999999999999996,0.09
1,backbone+rppg,ff_c40_test,600,0.52333,0.8521416317781457,0.478,0.072
1,backbone+blink,ff_c23_test,600,0.56298,0.869945899396571,0.44999999999999996,0.11
1,backbone+blink,ff_c40_test,600,0.5239,0.8548911145290659,0.5,0.094
1,full_fusion,ff_c23_test,600,0.5649,0.8701168148907874,0.45999999999999996,0.094
1,full_fusion,ff_c40_test,600,0.52394,0.8524770861158866,0.478,0.07
42,backbone_only,ff_c23_test,600,0.5701,0.8727794405868969,0.45999999999999996,0.122
42,backbone_only,ff_c40_test,600,0.53332,0.8575350351336862,0.49,0.094
42,backbone+rppg,ff_c23_test,600,0.58348,0.8779461148060356,0.45099999999999996,0.088
42,backbone+rppg,ff_c40_test,600,0.53914,0.857531628263364,0.48,0.102
42,backbone+blink,ff_c23_test,600,0.57952,0.8766189581110709,0.43999999999999995,0.12
42,backbone+blink,ff_c40_test,600,0.53382,0.8576805007725237,0.498,0.094
42,full_fusion,ff_c23_test,600,0.59458,0.8818107786230747,0.44199999999999995,0.104
42,full_fusion,ff_c40_test,600,0.53926,0.8572436249640103,0.479,0.102
1337,backbone_only,ff_c23_test,600,0.58896,0.8716312049889452,0.43999999999999995,0.096
1337,backbone_only,ff_c40_test,600,0.5513,0.8555734403242916,0.471,0.084
1337,backbone+rppg,ff_c23_test,600,0.59132,0.8715838542778556,0.43000000000000005,0.07
1337,backbone+rppg,ff_c40_test,600,0.54992,0.8546577344686415,0.471,0.08
1337,backbone+blink,ff_c23_test,600,0.59214,0.87347078956145,0.43000000000000005,0.086
1337,backbone+blink,ff_c40_test,600,0.5518,0.855819301389779,0.479,0.082
1337,full_fusion,ff_c23_test,600,0.59362,0.8740640667367756,0.44099999999999995,0.076
1337,full_fusion,ff_c40_test,600,0.55036,0.8546436853058901,0.471,0.08
2024,backbone_only,ff_c23_test,600,0.58736,0.8803564251829481,0.45099999999999996,0.156
2024,backbone_only,ff_c40_test,600,0.5478,0.865350249930918,0.48,0.128
2024,backbone+rppg,ff_c23_test,600,0.58952,0.8805084103308799,0.44999999999999996,0.126
2024,backbone+rppg,ff_c40_test,600,0.55048,0.8645281086070812,0.49,0.102
2024,backbone+blink,ff_c23_test,600,0.59636,0.8843295840580041,0.44999999999999996,0.166
2024,backbone+blink,ff_c40_test,600,0.54896,0.8653672557359339,0.478,0.12
2024,full_fusion,ff_c23_test,600,0.59302,0.8821672185088612,0.44799999999999995,0.146
2024,full_fusion,ff_c40_test,600,0.55056,0.8645290474056149,0.49,0.098
