seed,regime,variant,cdf_split,n,auc,ap,eer,tpr5
0,ff_only,backbone_only,by_clip,1306,0.7874024810716949,0.9585546836298366,0.27703632533165196,0.32683790965456155
0,ff_only,backbone+rppg,by_clip,1306,0.7735058774076353,0.9554825788777603,0.2943682975284363,0.2940655447298494
0,ff_only,backbone+blink,by_clip,1306,0.7785600976815641,0.9564336545134923,0.29392542773215635,0.32683790965456155
0,ff_only,full_fusion,by_clip,1306,0.7636926833906311,0.9531154623014283,0.3053324525979193,0.2940655447298494
0,ff_only,backbone_only,by_subject,1758,0.7896250660517846,0.9615151019581158,0.29633232454244124,0.3203631647211414
0,ff_only,backbone+rppg,by_subject,1758,0.7804919056540328,0.9594859235019091,0.3009169188643897,0.2710765239948119
0,ff_only,backbone+blink,by_subject,1758,0.7848903540375655,0.9601085120337979,0.29174773022049283,0.3002594033722438
0,ff_only,full_fusion,by_subject,1758,0.7755650429937071,0.9580677680439413,0.3018896815103041,0.2833981841763943
0,mixed,backbone_only,by_clip,1306,0.9757047134357189,0.9958504946087454,0.08488838179880198,0.816651904340124
0,mixed,backbone+rppg,by_clip,1306,0.9738331506808184,0.9954870128802036,0.0844455120025221,0.7927369353410098
0,mixed,backbone+blink,by_clip,1306,0.9759098847537694,0.9959130227623219,0.08488838179880198,0.8060230292294066
0,mixed,full_fusion,by_clip,1306,0.9741033763192265,0.995552585394019,0.08029204385662028,0.7936226749335695
0,mixed,backbone_only,by_subject,1758,0.9411508622760244,0.9908386115289469,0.1296656578757746,0.7120622568093385
0,mixed,backbone+rppg,by_subject,1758,0.9399349089686314,0.9905557162204648,0.1303141663063842,0.6964980544747081
0,mixed,backbone+blink,by_subject,1758,0.9412019022913964,0.9908609735815554,0.1296656578757746,0.7029831387808041
0,mixed,full_fusion,by_subject,1758,0.9404332997069703,0.990663242578016,0.1296656578757746,0.7133592736705577
1,ff_only,backbone_only,by_clip,1306,0.7714091266207284,0.954217972238794,0.3062181921904791,0.28520814880425155
1,ff_only,backbone+rppg,by_clip,1306,0.7699829357513523,0.9538709303582187,0.3108145301326608,0.28520814880425155
1,ff_only,backbone+blink,by_clip,1306,0.7612006025030901,0.951569025550752,0.3108145301326608,0.26217891939769705
1,ff_only,full_fusion,by_clip,1306,0.7580980118398863,0.9509630536875928,0.3162966076674023,0.2860938883968113
1,ff_only,backbone_only,by_subject,1758,0.7739858048710189,0.9590014071576655,0.3009169188643897,0.33852140077821014
1,ff_only,backbone+rppg,by_subject,1758,0.7732322140558198,0.9588355847501872,0.29174773022049283,0.3229571984435798
1,ff_only,backbone+blink,by_subject,1758,0.767182471057309,0.9571723969716179,0.3055015131863381,0.3346303501945525
1,ff_only,full_fusion,by_subject,1758,0.7664348849498006,0.9570212752521395,0.3048530047557285,0.3164721141374838
1,mixed,backbone_only,by_clip,1306,0.9720666756741879,0.9951141503046821,0.07896343446778062,0.7865367581930912
1,mixed,backbone+rppg,by_clip,1306,0.9717864416788018,0.9950108209075659,0.07896343446778062,0.7891939769707705
1,mixed,backbone+blink,by_clip,1306,0.9739332342505993,0.9955277739202261,0.07896343446778062,0.7865367581930912
1,mixed,full_fusion,by_clip,1306,0.9719665921044072,0.995079648698578,0.07896343446778062,0.7821080602302923
1,mixed,backbone_only,by_subject,1758,0.942769130998703,0.9910753621804606,0.1250810635538262,0.7127107652399481
1,mixed,backbone+rppg,by_subject,1758,0.945237065859634,0.9914183264919063,0.12017221501657299,0.7023346303501945
1,mixed,backbone+blink,by_subject,1758,0.9427331027525581,0.9910991994837489,0.1250810635538262,0.7101167315175098
1,mixed,full_fusion,by_subject,1758,0.945780491905654,0.9915378875971746,0.12049646923187779,0.704928664072633
42,ff_only,backbone_only,by_clip,1306,0.7797460879834662,0.9571630592655054,0.28888621999369474,0.27812223206377323
42,ff_only,backbone+rppg,by_clip,1306,0.7827285783629331,0.9578038434249421,0.2825184028663934,0.3179805137289637
42,ff_only,backbone+blink,by_clip,1306,0.7732856935541177,0.955675447425836,0.28800048040113496,0.2736935341009743
42,ff_only,full_fusion,by_clip,1306,0.7734808565151902,0.955670542936558,0.2893290897899746,0.29849424269264835
42,ff_only,backbone_only,by_subject,1758,0.7625048037661527,0.9558895010587243,0.3195795503674881,0.2827496757457847
42,ff_only,backbone+rppg,by_subject,1758,0.7676988759187203,0.9569581385940313,0.31467070183023493,0.29701686121919585
42,ff_only,backbone+blink,by_subject,1758,0.761697170581736,0.9554007974814052,0.3189310419368785,0.28664072632944226
42,ff_only,full_fusion,by_subject,1758,0.7649216986117116,0.9560008991652558,0.31467070183023493,0.2788586251621271
42,mixed,backbone_only,by_clip,1306,0.9749841117332974,0.9956877351745228,0.07896343446778062,0.7865367581930912
42,mixed,backbone+rppg,by_clip,1306,0.9747689320582686,0.9956093203379983,0.07896343446778062,0.7767936226749336
42,mixed,backbone+blink,by_clip,1306,0.9753043791565957,0.9957695202726832,0.07896343446778062,0.7785651018600531
42,mixed,full_fusion,by_clip,1306,0.9749791075548082,0.9956739915985824,0.07896343446778062,0.7883082373782108
42,mixed,backbone_only,by_subject,1758,0.9401360666762743,0.9905479882674887,0.1299899120910794,0.6971465629053177
42,mixed,backbone+rppg,by_subject,1758,0.9427000768602585,0.9909174838302176,0.1250810635538262,0.7153047989623865
42,mixed,backbone+blink,by_subject,1758,0.9401660902147283,0.9905674663983435,0.13327748955180863,0.7140077821011673
42,mixed,full_fusion,by_subject,1758,0.9431294134601528,0.9910129532835322,0.1250810635538262,0.708171206225681
1337,ff_only,backbone_only,by_clip,1306,0.7715392352614433,0.9552053042990781,0.2825184028663934,0.32063773250664307
1337,ff_only,backbone+rppg,by_clip,1306,0.7594291233179705,0.9524249022192709,0.2934825579358764,0.31355181576616475
1337,ff_only,backbone+blink,by_clip,1306,0.7627869270841152,0.953056259711263,0.2943682975284363,0.2754650132860939
1337,ff_only,full_fusion,by_clip,1306,0.7534191049526354,0.9508448723651346,0.30577532239419913,0.2763507528786537
1337,ff_only,backbone_only,by_subject,1758,0.7681011913340059,0.9567058949550933,0.31008610750828647,0.26848249027237353
1337,ff_only,backbone+rppg,by_subject,1758,0.7589590238747178,0.9545351993526958,0.31402219339962534,0.251621271076524
1337,ff_only,backbone+blink,by_subject,1758,0.7641110630734496,0.9552460434670642,0.31008610750828647,0.2522697795071336
1337,ff_only,full_fusion,by_subject,1758,0.7573227410289667,0.9536227934834551,0.3195795503674881,0.2600518806744488
1337,mixed,backbone_only,by_clip,1306,0.9721917801364139,0.9952290333828225,0.08488838179880198,0.7617360496014172
1337,mixed,backbone+rppg,by_clip,1306,0.9704052884158272,0.9948524797101861,0.07896343446778062,0.7581930912311781
1337,mixed,backbone+blink,by_clip,1306,0.9744086312070579,0.9956427284936328,0.07896343446778062,0.7821080602302923
1337,mixed,full_fusion,by_clip,1306,0.9729123818388354,0.9953313538972776,0.07896343446778062,0.8015943312666076
1337,mixed,backbone_only,by_subject,1758,0.9410067492914445,0.9907528813653615,0.1250810635538262,0.7068741893644618
1337,mixed,backbone+rppg,by_subject,1758,0.9396196618148629,0.9904285599276657,0.1250810635538262,0.6939040207522698
1337,mixed,backbone+blink,by_subject,1758,0.9408506268914829,0.99075993629304,0.1250810635538262,0.7042801556420234
1337,mixed,full_fusion,by_subject,1758,0.9399949560455397,0.9905266984451881,0.1250810635538262,0.6971465629053177
2024,ff_only,backbone_only,by_clip,1306,0.7608453058303684,0.9533767342583249,0.3162966076674023,0.2949512843224092
2024,ff_only,backbone+rppg,by_clip,1306,0.7602448044116837,0.9529103579199139,0.3044467130053595,0.3232949512843224
2024,ff_only,backbone+blink,by_clip,1306,0.7525533820740318,0.951283900486988,0.3162966076674023,0.30115146147032773
2024,ff_only,full_fusion,by_clip,1306,0.7506392838019746,0.9505910599353148,0.3162966076674023,0.32772364924712133
2024,ff_only,backbone_only,by_subject,1758,0.7553682086756017,0.953939831857627,0.3205523130134025,0.261348897535668
2024,ff_only,backbone+rppg,by_subject,1758,0.7576469952442715,0.9542046921047994,0.3195795503674881,0.2619974059662776
2024,ff_only,backbone+blink,by_subject,1758,0.7511859297689388,0.9526205288222297,0.3241641446894365,0.26523994811932555
2024,ff_only,full_fusion,by_subject,1758,0.7536268434452611,0.9529698394135563,0.3241641446894365,0.25486381322957197
2024,mixed,backbone_only,by_clip,1306,0.9741484139256279,0.9956255143241699,0.08488838179880198,0.8131089459698848
2024,mixed,backbone+rppg,by_clip,1306,0.9739732676785116,0.9955348972591772,0.08029204385662028,0.8379096545615589
2024,mixed,backbone+blink,by_clip,1306,0.9743685977791456,0.9956864308271223,0.08488838179880198,0.8237378210806023
2024,mixed,full_fusion,by_clip,1306,0.9739732676785116,0.9955525588186424,0.0840026422062422,0.829052258635961
2024,mixed,backbone_only,by_subject,1758,0.9400880290147475,0.9906909916537242,0.13425025219772302,0.7140077821011673
2024,mixed,backbone+rppg,by_subject,1758,0.9434536676754576,0.9911524075782694,0.13392599798241822,0.7178988326848249
2024,mixed,backbone+blink,by_subject,1758,0.9403672479223711,0.9907696609908707,0.13425025219772302,0.7062256809338522
2024,mixed,full_fusion,by_subject,1758,0.9438469760292069,0.9912487103933463,0.1296656578757746,0.7224383916990921
