regime,variant,cdf_split,n,auc_mean,auc_std,eer_mean,eer_std,tpr5_mean,tpr5_std
ff_only,backbone+blink,by_clip,1306,0.598043,0.017700,0.425095,0.015973,0.067139,0.006699
ff_only,backbone+blink,by_subject,1758,0.606671,0.013959,0.424887,0.016598,0.071595,0.012335
ff_only,backbone+rppg,by_clip,1306,0.614216,0.020919,0.424918,0.015591,0.069088,0.015670
ff_only,backbone+rppg,by_subject,1758,0.617354,0.015592,0.414143,0.018380,0.059533,0.016814
ff_only,backbone_only,by_clip,1306,0.614686,0.023185,0.417720,0.014745,0.063419,0.019482
ff_only,backbone_only,by_subject,1758,0.617904,0.015076,0.417746,0.008522,0.064981,0.017945
ff_only,full_fusion,by_clip,1306,0.602764,0.021233,0.422725,0.013990,0.061647,0.011336
ff_only,full_fusion,by_subject,1758,0.608059,0.014870,0.424951,0.016330,0.063294,0.009016
mixed,backbone+blink,by_clip,1306,0.814797,0.030331,0.256947,0.028585,0.293711,0.046214
mixed,backbone+blink,by_subject,1758,0.808683,0.016904,0.275836,0.015264,0.309857,0.073347
mixed,backbone+rppg,by_clip,1306,0.817694,0.030579,0.248829,0.030861,0.275288,0.070073
mixed,backbone+rppg,by_subject,1758,0.794984,0.022315,0.284153,0.024346,0.243320,0.050684
mixed,backbone_only,by_clip,1306,0.816862,0.030049,0.257512,0.029408,0.295128,0.048447
mixed,backbone_only,by_subject,1758,0.801075,0.022728,0.283495,0.019351,0.289364,0.057804
mixed,full_fusion,by_clip,1306,0.816161,0.030095,0.250667,0.031784,0.273162,0.059294
mixed,full_fusion,by_subject,1758,0.802996,0.014493,0.274919,0.022600,0.263424,0.030131
